id,y,oof
393,Trust,Surprise
394,Surprise,Surprise
395,Surprise,Surprise
396,Proud,Surprise
397,Proud,Surprise
398,Trust,Surprise
399,Trust,Surprise
400,Trust,Surprise
401,Proud,Surprise
402,Proud,Surprise
403,Proud,Surprise
404,Trust,Surprise
405,Fear,Surprise
406,Surprise,Surprise
407,Proud,Surprise
408,Proud,Surprise
409,Surprise,Surprise
410,Surprise,Surprise
411,Proud,Surprise
412,Proud,Surprise
413,Trust,Surprise
414,Trust,Surprise
415,Trust,Surprise
416,Surprise,Surprise
417,Trust,Surprise
418,Proud,Surprise
419,Proud,Surprise
420,Surprise,Surprise
421,Trust,Surprise
422,Surprise,Surprise
423,Proud,Surprise
424,Joy,Surprise
425,Trust,Trust
426,Anger,Proud
427,Proud,Proud
428,Proud,Trust
429,Surprise,Trust
430,Anger,Surprise
431,Trust,Proud
432,Proud,Trust
433,Trust,Trust
434,Surprise,Trust
435,Trust,Proud
436,Proud,Trust
437,Proud,Proud
438,Proud,Trust
439,Trust,Trust
440,Surprise,Proud
441,Trust,Proud
442,Proud,Surprise
443,Joy,Trust
444,Proud,Trust
445,Trust,Trust
446,Surprise,Proud
447,Proud,Anger
448,Trust,Trust
449,Sad,Joy
450,Trust,Surprise
451,Surprise,Anger
452,Trust,Proud
453,Trust,Trust
454,Proud,Trust
455,Trust,Trust
456,Surprise,Trust
457,Joy,Proud
458,Neutral,Trust
459,Proud,Surprise
460,Trust,Surprise
461,Surprise,Trust
462,Trust,Proud
463,Proud,Trust
464,Proud,Trust
465,Trust,Proud
466,Surprise,Anger
467,Proud,Trust
468,Surprise,Proud
469,Trust,Trust
470,Proud,Trust
471,Trust,Proud
472,Proud,Anger
473,Trust,Proud
474,Proud,Trust
475,Surprise,Joy
476,Trust,Trust
477,Trust,Proud
478,Surprise,Proud
479,Proud,Surprise
480,Trust,Trust
481,Anger,Proud
482,Proud,Surprise
483,Trust,Trust
484,Surprise,Trust
485,Trust,Anger
486,Trust,Trust
487,Trust,Proud
488,Proud,Trust
489,Trust,Surprise
490,Surprise,Trust
491,Surprise,Proud
492,Proud,Proud
493,Surprise,Proud
494,Proud,Proud
495,Proud,Surprise
496,Surprise,Proud
497,Proud,Joy
498,Surprise,Joy
499,Proud,Joy
500,Joy,Proud
501,Joy,Proud
502,Trust,Surprise
503,Trust,Trust
504,Trust,Joy
505,Trust,Surprise
506,Trust,Joy
507,Trust,Surprise
508,Surprise,Surprise
509,Joy,Surprise
510,Surprise,Trust
511,Trust,Joy
512,Joy,Trust
513,Trust,Surprise
514,Joy,Anger
515,Trust,Trust
516,Surprise,Joy
517,Trust,Joy
518,Trust,Joy
519,Anger,Joy
520,Trust,Joy
521,Proud,Anger
522,Joy,Trust
523,Surprise,Proud
524,Trust,Proud
525,Proud,Joy
526,Surprise,Sad
527,Proud,Joy
528,Joy,Proud
529,Joy,Proud
530,Proud,Joy
531,Trust,Joy
532,Proud,Joy
533,Trust,Joy
534,Trust,Joy
535,Trust,Joy
536,Joy,Proud
537,Proud,Joy
538,Trust,Joy
539,Proud,Joy
540,Trust,Joy
541,Surprise,Joy
542,Surprise,Joy
543,Proud,Trust
544,Surprise,Trust
545,Joy,Joy
546,Proud,Proud
547,Trust,Joy
548,Proud,Surprise
549,Trust,Joy
550,Proud,Joy
551,Surprise,Joy
552,Proud,Joy
553,Joy,Joy
554,Proud,Joy
555,Joy,Proud
556,Surprise,Surprise
557,Neutral,Surprise
558,Surprise,Surprise
559,Surprise,Surprise
560,Surprise,Surprise
561,Trust,Surprise
562,Proud,Proud
563,Proud,Surprise
564,Trust,Surprise
565,Surprise,Neutral
566,Surprise,Surprise
567,Surprise,Loyalty
568,Proud,Surprise
569,Trust,Surprise
570,Surprise,Anger
571,Surprise,Surprise
572,Trust,Surprise
573,Surprise,Surprise
574,Surprise,Proud
575,Surprise,Surprise
576,Sad,Trust
577,Trust,Loyalty
578,Sad,Proud
579,Proud,Neutral
580,Surprise,Surprise
581,Neutral,Surprise
582,Joy,Trust
583,Surprise,Surprise
584,Surprise,Surprise
585,Proud,Proud
586,Surprise,Sad
587,Proud,Surprise
588,Surprise,Loyalty
589,Surprise,Proud
590,Surprise,Surprise
591,Trust,Surprise
592,Surprise,Surprise
593,Surprise,Surprise
594,Trust,Surprise
595,Proud,Proud
596,Surprise,Surprise
597,Surprise,Neutral
598,Surprise,Trust
599,Proud,Surprise
600,Surprise,Surprise
601,Trust,Trust
602,Proud,Surprise
603,Surprise,Proud
604,Proud,Trust
605,Surprise,Proud
606,Surprise,Surprise
607,Surprise,Trust
608,Surprise,Proud
609,Proud,Proud
610,Surprise,Surprise
611,Surprise,Surprise
612,Anger,Surprise
613,Sad,Surprise
614,Proud,Proud
615,Surprise,Surprise
616,Trust,Proud
617,Surprise,Love
618,Surprise,Trust
619,Trust,Trust
620,Surprise,Surprise
621,Surprise,Surprise
622,Surprise,Surprise
623,Proud,Surprise
624,Surprise,Sad
625,Surprise,Surprise
626,Joy,Surprise
627,Surprise,Surprise
628,Sad,Surprise
629,Joy,Surprise
630,Surprise,Surprise
631,Surprise,Surprise
632,Surprise,Surprise
633,Proud,Surprise
634,Surprise,Surprise
635,Trust,Surprise
636,Surprise,Surprise
637,Proud,Surprise
638,Trust,Fear
639,Trust,Surprise
640,Trust,Surprise
641,Surprise,Surprise
642,Surprise,Trust
643,Surprise,Surprise
644,Surprise,Surprise
645,Surprise,Sad
646,Surprise,Surprise
647,Surprise,Surprise
648,Trust,Sad
649,Surprise,Surprise
650,Surprise,Surprise
651,Sad,Surprise
652,Trust,Sad
653,Surprise,Trust
654,Surprise,Fear
655,Fear,Sad
656,Sad,Neutral
657,Surprise,Anger
658,Anger,Surprise
659,Neutral,Surprise
660,Trust,Surprise
661,Sad,Sad
662,Fear,Anger
663,Surprise,Neutral
664,Sad,Trust
665,Anger,Fear
666,Surprise,Sad
667,Surprise,Fear
668,Surprise,Surprise
669,Fear,Sad
670,Surprise,Surprise
671,Surprise,Surprise
672,Surprise,Surprise
673,Proud,Surprise
674,Proud,Fear
675,Proud,Surprise
676,Surprise,Fear
677,Surprise,Anger
678,Surprise,Anger
679,Surprise,Surprise
680,Proud,Fear
681,Proud,Surprise
682,Surprise,Surprise
683,Sad,Surprise
684,Surprise,Surprise
685,Proud,Surprise
686,Trust,Sad
687,Proud,Trust
688,Trust,Surprise
689,Surprise,Sad
690,Proud,Surprise
691,Trust,Surprise
692,Trust,Trust
693,Trust,Surprise
694,Trust,Surprise
695,Surprise,Surprise
696,Neutral,Surprise
697,Proud,Surprise
698,Surprise,Trust
699,Surprise,Surprise
700,Surprise,Surprise
701,Surprise,Surprise
702,Surprise,Surprise
703,Trust,Trust
704,Surprise,Surprise
705,Surprise,Surprise
706,Trust,Surprise
707,Surprise,Surprise
708,Joy,Surprise
709,Trust,Surprise
710,Joy,Surprise
711,Proud,Surprise
712,Trust,Surprise
713,Trust,Anger
714,Trust,Surprise
715,Trust,Trust
716,Trust,Anger
717,Trust,Joy
718,Fear,Surprise
719,Trust,Anger
720,Fear,Fear
721,Fear,Trust
722,Fear,Surprise
723,Fear,Fear
724,Trust,Fear
725,Anger,Anger
726,Fear,Anger
727,Anger,Surprise
728,Anger,Anger
729,Fear,Trust
730,Joy,Surprise
731,Anger,Anger
732,Joy,Trust
733,Anger,Anger
734,Anger,Anger
735,Anger,Surprise
736,Anger,Surprise
737,Fear,Trust
738,Anger,Anger
739,Anger,Anger
740,Fear,Anger
741,Anger,Surprise
742,Anger,Surprise
743,Surprise,Sad
744,Trust,Anger
745,Proud,Trust
746,Surprise,Anger
747,Joy,Neutral
748,Surprise,Surprise
749,Trust,Surprise
750,Surprise,Surprise
751,Anger,Surprise
752,Trust,Surprise
753,Surprise,Surprise
754,Trust,Surprise
755,Surprise,Anger
756,Surprise,Surprise
757,Trust,Surprise
758,Surprise,Surprise
759,Surprise,Surprise
760,Trust,Trust
761,Surprise,Anger
762,Surprise,Trust
763,Trust,Trust
764,Surprise,Surprise
765,Fear,Fear
766,Surprise,Surprise
767,Trust,Anger
768,Surprise,Fear
769,Surprise,Anger
770,Trust,Surprise
771,Anger,Surprise
772,Surprise,Anger
773,Proud,Surprise
774,Trust,Trust
775,Trust,Proud
776,Surprise,Surprise
777,Trust,Anger
778,Trust,Trust
779,Trust,Surprise
780,Proud,Trust
781,Surprise,Trust
782,Joy,Joy
783,Proud,Joy
784,Trust,Surprise
785,Surprise,Trust
786,Trust,Joy
787,Surprise,Surprise
788,Surprise,Trust
789,Proud,Proud
790,Surprise,Proud
791,Surprise,Trust
792,Joy,Neutral
793,Proud,Surprise
794,Joy,Surprise
795,Trust,Surprise
796,Surprise,Surprise
797,Proud,Surprise
798,Proud,Trust
799,Surprise,Surprise
800,Surprise,Surprise
801,Proud,Surprise
802,Anger,Surprise
803,Surprise,Anger
