emotion,rank,phrase,mean_tfidf
Joy,11,3 2 1,0.022727
Joy,12,nah menurut kalian,0.022727
Joy,13,test drive mobil,0.022727
Joy,14,menang sukses jakarta,0.017422
Joy,15,jakarta menang sukses,0.017422
Joy,16,set set set,0.016441
Joy,17,bener bener bikin,0.016441
Joy,18,g3 plus mobil,0.016071
Joy,19,one of my,0.016071
Joy,20,perjalanan jauh menggunakan,0.016071
Joy,21,teman teman baru,0.016071
Joy,22,mulai 299 juta,0.016071
Joy,23,langsung coba langsung,0.016071
Joy,24,sukses jakarta indonesia,0.015804
Joy,25,plug in hybrid,0.015692
Joy,26,jakarta x beauty,0.015692
Joy,27,ivan gunawan deluxe,0.014455
Joy,28,oh my god,0.013189
Joy,29,nama baik jakarta,0.013147
Joy,30,gini 8 12,0.012549
Love,1,john glory glory,1.0
Loyalty,1,circle to search,0.723401
Loyalty,2,selama 3 tahun,0.690428
Neutral,1,need to notice,0.120567
Neutral,2,klik follow save,0.117851
Neutral,3,follow save video,0.117851
Neutral,4,you need to,0.115071
Neutral,5,it s so,0.11222
Neutral,6,pas tengah tengah,0.084699
Neutral,7,pokoknya bener bener,0.063032
Neutral,8,pas pertama kali,0.063032
Neutral,9,s so good,0.060159
Neutral,10,it it s,0.060159
Neutral,11,memiliki mindset benar,0.050833
Neutral,12,telling you this,0.042349
Neutral,13,really really like,0.042349
Neutral,14,tanpa berasa berat,0.042349
Neutral,15,m telling you,0.042349
Neutral,16,i m telling,0.042349
Neutral,17,finishnya velvet matte,0.042349
Neutral,18,berasa berat so,0.042349
Neutral,19,really like this,0.040419
Neutral,20,selesai make upan,0.040419
Neutral,21,coverage berasa berat,0.040419
Neutral,22,and i m,0.040419
Neutral,23,i really really,0.038922
Neutral,24,mindset benar teruskan,0.025416
Neutral,25,mindset benar kejutan,0.025416
Neutral,26,mindset apabila memiliki,0.025416
Neutral,27,teruskan dr nia,0.025416
Neutral,28,membuat waktu menyerahkan,0.025416
Neutral,29,mencari kecil sebenarnya,0.025416
Neutral,30,membantu revaluasi mindset,0.025416
Proud,1,oh my god,0.01837
Proud,2,wireless charging 50w,0.015379
Proud,3,move your hustle,0.014289
Proud,4,beberapa minggu lalu,0.014049
Proud,5,sampai jam 6,0.013542
Proud,6,pertama kali nyobain,0.011925
Proud,7,badan masa otot,0.011572
Proud,8,meraih medali emas,0.011293
Proud,9,memiliki mindset benar,0.010991
Proud,10,jalan jalan jalan,0.010929
Proud,11,sukses jakarta indonesia,0.01001
Proud,12,skin prep kalian,0.009367
Proud,13,biar bulu mata,0.009286
Proud,14,bulu mata lentik,0.009286
Proud,15,bahu bagian belakang,0.009151
Proud,16,android 15 fitur,0.009009
Proud,17,mengatasi masalah jerawat,0.009009
Proud,18,salah satu paling,0.009009
Proud,19,punya 2 warna,0.009009
Proud,20,32gb storage 1tb,0.009009
Proud,21,2025 terima kasih,0.009009
Proud,22,pola hidup sehat,0.009009
Proud,23,worth it kalian,0.009009
Proud,24,benar benar suka,0.009009
Proud,25,menang semua senang,0.009009
Proud,26,menjaga skin barrier,0.009009
Proud,27,jangan lupa follow,0.009009
Proud,28,mobil kilometer rendah,0.009009
Proud,29,atlet atlet terbaik,0.009009
Proud,30,temen temen lihat,0.009009
Sad,1,sekolah les bermain,0.125
Sad,2,follow save video,0.0625
Sad,3,skin barrier rusak,0.047962
Sad,4,hai guys kali,0.044194
Sad,5,setelah cek ternyata,0.044194
Sad,6,oh my god,0.040008
Sad,7,tanda tanda penuaan,0.037692
Sad,8,sebelah sini lihat,0.037692
Sad,9,panggil timur inspeksi,0.036084
Sad,10,inspeksi menyeluruh plus,0.036084
Sad,11,gini kira kira,0.036084
Sad,12,that s it,0.033177
Sad,13,kasih lihat kalian,0.032632
Sad,14,eyeshadow blush on,0.029232
Sad,15,it s so,0.02484
Sad,16,something calm down,0.023981
Sad,17,misalnya water misalnya,0.023981
Sad,18,my god suka,0.014616
Sad,19,multitasking color crayon,0.014616
Sad,20,gini makanya gemes,0.014616
Sad,21,blush on lipstick,0.014616
Sad,22,blush on bibir,0.014616
Sad,23,bagus oh my,0.014616
Sad,24,is my favorite,0.013289
Sad,25,i m telling,0.013289
Sad,26,to get this,0.013289
Sad,27,you so much,0.013289
Sad,28,s super comfortable,0.013289
Sad,29,it s super,0.013289
Sad,30,check that out,0.013289
Surprise,1,oh my god,0.019802
Surprise,2,let s go,0.017715
Surprise,3,1 2 3,0.013944
Surprise,4,bikin kulit kering,0.010098
Surprise,5,coba komen bawah,0.008886
Surprise,6,km per liter,0.008823
Surprise,7,auto apple carplay,0.008326
Surprise,8,android auto apple,0.008326
Surprise,9,i don t,0.007986
Surprise,10,nah makanya biar,0.007812
Surprise,11,banyak sekolah sekolah,0.007812
Surprise,12,adalah salah satu,0.007664
Surprise,13,1500 cc turbo,0.006782
Surprise,14,paling tipis dunia,0.006668
Surprise,15,oh om om,0.006668
Surprise,16,bulu mata bawahnya,0.006563
Surprise,17,adaptive cruise control,0.00655
Surprise,18,nah kira kira,0.006386
Surprise,19,sub indo by,0.006357
Surprise,20,indo by broth3rmax,0.006357
Surprise,21,suv leather frame,0.006331
Surprise,22,8gb storage 256gb,0.006265
Surprise,23,s go langsung,0.006232
Surprise,24,kaya kaya kaya,0.006192
Surprise,25,buang air besar,0.006162
Surprise,26,carbon fiber carbon,0.006162
Surprise,27,3 2 1,0.006034
Surprise,28,salah satunya adalah,0.005737
Surprise,29,harga 3 jutaan,0.005669
Surprise,30,punya bekas jerawat,0.005605
Trust,1,memiliki mindset benar,0.01655
Trust,2,i love you,0.015504
Trust,3,ikan koi ikan,0.013233
Trust,4,kehidupan sehari hari,0.013233
Trust,5,mother of pearl,0.0132
Trust,6,paling penting adalah,0.012906
Trust,7,melihat teman teman,0.012088
Trust,8,by the way,0.011894
Trust,9,tahan 2 3,0.010948
Trust,10,provinsi kaya jakarta,0.01092
Trust,11,jakarta tahun 2025,0.010795
Trust,12,faat stay hard,0.010401
Trust,13,menurunkan berat badan,0.010156
Trust,14,tiang pull up,0.009614
Trust,15,coba komen bawah,0.009454
Trust,16,that s it,0.009022
Trust,17,8 12 kali,0.008957
Trust,18,share satu studi,0.008955
Trust,19,satu per satu,0.00866
Trust,20,selama 3 hari,0.008497
Trust,21,oke terima kasih,0.008429
Trust,22,mantap terima kasih,0.008395
Trust,23,revaluasi mindset rasa,0.008275
Trust,24,adalah mindset apabila,0.008275
Trust,25,benar teruskan dr,0.008275
Trust,26,benar kejutan kejutan,0.008275
Trust,27,waktu menyerahkan adalah,0.008275
Trust,28,rasa membantu revaluasi,0.008275
Trust,29,rasa berbagi jika,0.008275
Trust,30,adalah membuat waktu,0.008275
