emotion,rank,phrase,mean_tfidf
Loyalty,4,screen protector,0.19271
Loyalty,5,lihat sebelum,0.19271
Loyalty,6,one ui,0.19271
Loyalty,7,pertama langsung,0.19271
Loyalty,8,misalnya butuh,0.19271
Loyalty,9,kalian banyak,0.19271
Loyalty,10,info detail,0.19271
Loyalty,11,ganti layar,0.19271
Loyalty,12,fitur ai,0.19271
Loyalty,13,cover semua,0.19271
Loyalty,14,circle to,0.19271
Loyalty,15,aplikasi lain,0.19271
Loyalty,16,7 tahun,0.183926
Loyalty,17,2 tahun,0.183926
Loyalty,18,1 tahun,0.171546
Loyalty,19,langsung datang,0.171546
Loyalty,20,kolom komentar,0.171546
Loyalty,21,selama 2,0.16684
Loyalty,22,2 kali,0.16684
Loyalty,23,kanan kiri,0.159166
Loyalty,24,selama 3,0.155949
Loyalty,25,main game,0.153039
Loyalty,26,kalian suka,0.153039
Loyalty,27,3 tahun,0.153039
Neutral,1,memberikan hasil,0.147634
Neutral,2,rumah punya,0.080357
Neutral,3,alternatif aman,0.077342
Neutral,4,workout rumah,0.071532
Neutral,5,bener bener,0.071019
Neutral,6,mual muntah,0.063483
Neutral,7,hamil mengalami,0.063483
Neutral,8,s so,0.059492
Neutral,9,ibu hamil,0.058345
Neutral,10,you need,0.052616
Neutral,11,your skin,0.049959
Neutral,12,memiliki mindset,0.048494
Neutral,13,mindset benar,0.048494
Neutral,14,kejutan kejutan,0.047888
Neutral,15,jangan khawatir,0.045318
Neutral,16,it s,0.04245
Neutral,17,skin care,0.041569
Neutral,18,perlu banyak,0.040178
Neutral,19,to notice,0.040178
Neutral,20,memindahkan beban,0.040178
Neutral,21,diatur layar,0.040178
Neutral,22,banyak space,0.040178
Neutral,23,100 kilo,0.040178
Neutral,24,video video,0.038347
Neutral,25,i m,0.038078
Neutral,26,pas tengah,0.037858
Neutral,27,banyak pilihannya,0.037858
Neutral,28,full coverage,0.036132
Neutral,29,latihan beban,0.035766
Neutral,30,semua otot,0.035766
Proud,1,terima kasih,0.03356
Proud,2,teman teman,0.02391
Proud,3,bener bener,0.016127
Proud,4,temen temen,0.012342
Proud,5,sepak bola,0.012288
Proud,6,jangan lupa,0.012072
Proud,7,luar biasa,0.011577
Proud,8,solar guard,0.011457
Proud,9,dekai jakarta,0.011204
Proud,10,atlet atlet,0.010823
Proud,11,mindset benar,0.010485
Proud,12,memiliki mindset,0.010485
Proud,13,kejutan kejutan,0.010354
Proud,14,dki jakarta,0.010328
Proud,15,200 ribu,0.010015
Proud,16,kalian lihat,0.009759
Proud,17,benar benar,0.009266
Proud,18,salah satu,0.009159
Proud,19,make up,0.009089
Proud,20,belakang bagian,0.009009
Proud,21,pertama kali,0.008736
Proud,22,oke john,0.008654
Proud,23,selamat datang,0.008396
Proud,24,wuling mitra,0.008269
Proud,25,jalan jalan,0.0081
Proud,26,cabang olahraga,0.008069
Proud,27,kaca film,0.007992
Proud,28,sampai jam,0.00797
Proud,29,vitamin c,0.00783
Proud,30,warna warna,0.007814
Sad,1,paling penting,0.0625
Sad,2,sebelah sini,0.052957
Sad,3,lihat bukan,0.050814
Sad,4,tinggi gula,0.047341
Sad,5,ibu hamil,0.042724
Sad,6,minuman manis,0.036753
Sad,7,bukan hanya,0.036389
Sad,8,menang menang,0.034489
Sad,9,muka muka,0.034489
Sad,10,hai kalian,0.03433
Sad,11,sini tunjukin,0.03433
Sad,12,sini sini,0.032766
Sad,13,mengonsumsi minuman,0.029796
Sad,14,asupan minuman,0.029796
Sad,15,les bermain,0.029796
Sad,16,sekolah les,0.029796
Sad,17,minuman tepat,0.029796
Sad,18,kalian lihat,0.029638
Sad,19,mobil bekas,0.028545
Sad,20,it s,0.028034
Sad,21,bagi kesehatan,0.027385
Sad,22,kemarin habis,0.027253
Sad,23,emang eh,0.027228
Sad,24,luar rumah,0.024502
Sad,25,tanda tanda,0.02445
Sad,26,blush on,0.023314
Sad,27,barrier rusak,0.023301
Sad,28,produk warda,0.022993
Sad,29,tiba tiba,0.022586
Sad,30,misalnya water,0.022239
Surprise,1,terima kasih,0.026094
Surprise,2,make up,0.014728
Surprise,3,kira kira,0.014276
Surprise,4,bener bener,0.013371
Surprise,5,salah satu,0.012626
Surprise,6,tiba tiba,0.010773
Surprise,7,teman teman,0.01047
Surprise,8,temen temen,0.010369
Surprise,9,luar biasa,0.00959
Surprise,10,oh my,0.008948
Surprise,11,it s,0.008714
Surprise,12,oh oh,0.008573
Surprise,13,jangan lupa,0.008527
Surprise,14,my god,0.008465
Surprise,15,this is,0.007932
Surprise,16,let s,0.007863
Surprise,17,benar benar,0.007284
Surprise,18,s go,0.007276
Surprise,19,bikin kulit,0.007242
Surprise,20,dki jakarta,0.006887
Surprise,21,1 2,0.006798
Surprise,22,sobat sehat,0.006794
Surprise,23,2 3,0.006606
Surprise,24,bulu mata,0.006508
Surprise,25,bukan cuma,0.006484
Surprise,26,carbon fiber,0.005874
Surprise,27,bekas jerawat,0.005622
Surprise,28,3 jutaan,0.005604
Surprise,29,cacar api,0.005542
Surprise,30,km per,0.005456
Trust,1,terima kasih,0.035811
Trust,2,teman teman,0.018357
Trust,3,mindset benar,0.015789
Trust,4,memiliki mindset,0.015789
Trust,5,kejutan kejutan,0.015592
Trust,6,insya allah,0.013551
Trust,7,salah satu,0.013311
Trust,8,anak anak,0.013146
Trust,9,benar benar,0.012465
Trust,10,temen temen,0.01191
Trust,11,jangan lupa,0.011816
Trust,12,solar guard,0.011222
Trust,13,2 3,0.009851
Trust,14,pull up,0.009251
Trust,15,berat badan,0.009036
Trust,16,dk jakarta,0.008941
Trust,17,kalian lihat,0.008453
Trust,18,i love,0.008375
Trust,19,love you,0.008339
Trust,20,misalnya kalian,0.008179
Trust,21,komen bawah,0.008092
Trust,22,aktivitas rasa,0.007894
Trust,23,benar kejutan,0.007894
Trust,24,waktu menyerahkan,0.007894
Trust,25,mengawasi allah,0.007894
Trust,26,aktivitas sebenarnya,0.007894
Trust,27,barokah aktivitas,0.007894
Trust,28,dr nia,0.007894
Trust,29,aktivitas besar,0.007894
Trust,30,membantu revaluasi,0.007894
