emotion,phrase,other_mean,distinctiveness
Fear,rasa membantu revaluasi,0.0007522727272727,0.0094147272727272
Fear,rasa berbagi jika,0.0007522727272727,0.0094147272727272
Fear,revaluasi mindset rasa,0.0007522727272727,0.0094147272727272
Fear,mindset benar teruskan,0.0023105454545454,0.0078564545454545
Fear,teruskan dr nia,0.0023105454545454,0.0078564545454545
Fear,mindset apabila memiliki,0.0023105454545454,0.0078564545454545
Fear,mencari kecil sebenarnya,0.0023105454545454,0.0078564545454545
Fear,membantu revaluasi mindset,0.0023105454545454,0.0078564545454545
Fear,membuat waktu menyerahkan,0.0023105454545454,0.0078564545454545
Fear,mindset benar kejutan,0.0023105454545454,0.0078564545454545
Joy,menghasilkan atlet atlet,0.0,0.029314
Joy,datang jakarta menang,0.0,0.027208
Joy,membawa nama baik,0.0,0.026269
Joy,jakarta datang jakarta,0.0,0.024622
Joy,terima kasih kerana,0.0,0.024147
Joy,kasih kerana menonton,0.0,0.024147
Joy,depan salah satu,0.0,0.022727
Joy,test drive mobil,0.0,0.022727
Joy,jangan sampai kelewatan,0.0,0.022727
Joy,2025 terima kasih,0.000819,0.021908
Joy,melihat teman teman,0.001098909090909,0.0216280909090909
Joy,nah menurut kalian,0.0032467272727272,0.0194802727272727
Joy,jakarta menang sukses,0.0,0.017422
Joy,menang sukses jakarta,0.0,0.017422
Joy,set set set,0.0,0.016441
Joy,bener bener bikin,0.0,0.016441
Joy,g3 plus mobil,0.0,0.016071
Joy,perjalanan jauh menggunakan,0.0,0.016071
Joy,one of my,0.0,0.016071
Joy,mulai 299 juta,0.0,0.016071
Joy,langsung coba langsung,0.0,0.016071
Joy,teman teman baru,0.0,0.016071
Joy,plug in hybrid,0.0,0.015692
Joy,jakarta x beauty,0.0,0.015692
Joy,sukses jakarta indonesia,0.00091,0.014894
Joy,ivan gunawan deluxe,0.0,0.014455
Joy,nama baik jakarta,0.0,0.013147
Joy,gini 8 12,0.0,0.012549
Joy,oh my god,0.0071072727272727,0.0060817272727272
Love,john glory glory,0.0,1.0
Loyalty,circle to search,0.0,0.723401
Loyalty,selama 3 tahun,0.0,0.690428
Neutral,need to notice,0.0,0.120567
Neutral,klik follow save,0.0,0.117851
Neutral,you need to,0.0,0.115071
Neutral,follow save video,0.0056818181818181,0.1121691818181818
Neutral,it s so,0.0022581818181818,0.1099618181818181
Neutral,pas tengah tengah,0.0,0.084699
Neutral,pokoknya bener bener,0.0,0.063032
Neutral,pas pertama kali,0.0,0.063032
Neutral,it it s,0.0,0.060159
Neutral,s so good,0.0,0.060159
Neutral,memiliki mindset benar,0.0043521818181818,0.0464808181818181
Neutral,m telling you,0.0,0.042349
Neutral,finishnya velvet matte,0.0,0.042349
Neutral,berasa berat so,0.0,0.042349
Neutral,really really like,0.0,0.042349
Neutral,tanpa berasa berat,0.0,0.042349
Neutral,telling you this,0.0,0.042349
Neutral,i m telling,0.0012080909090909,0.041140909090909
Neutral,coverage berasa berat,0.0,0.040419
Neutral,selesai make upan,0.0,0.040419
Neutral,and i m,0.0,0.040419
Neutral,really like this,0.0,0.040419
Neutral,i really really,0.0,0.038922
Neutral,membantu revaluasi mindset,0.0009242727272727,0.0244917272727272
Neutral,mindset apabila memiliki,0.0009242727272727,0.0244917272727272
Neutral,mindset benar kejutan,0.0009242727272727,0.0244917272727272
Neutral,mencari kecil sebenarnya,0.0009242727272727,0.0244917272727272
Neutral,membuat waktu menyerahkan,0.0009242727272727,0.0244917272727272
Neutral,mindset benar teruskan,0.0009242727272727,0.0244917272727272
Neutral,teruskan dr nia,0.0009242727272727,0.0244917272727272
Proud,wireless charging 50w,0.0,0.015379
Proud,move your hustle,0.0,0.014289
Proud,beberapa minggu lalu,0.0,0.014049
Proud,sampai jam 6,0.0,0.013542
Proud,pertama kali nyobain,0.0,0.011925
Proud,oh my god,0.0066362727272727,0.0117337272727272
Proud,badan masa otot,0.0,0.011572
Proud,meraih medali emas,0.0,0.011293
Proud,jalan jalan jalan,0.0,0.010929
Proud,skin prep kalian,0.0,0.009367
Proud,biar bulu mata,0.0,0.009286
Proud,bulu mata lentik,0.0,0.009286
Proud,bahu bagian belakang,0.0,0.009151
Proud,menjaga skin barrier,0.0,0.009009
Proud,benar benar suka,0.0,0.009009
Proud,atlet atlet terbaik,0.0,0.009009
Proud,jangan lupa follow,0.0,0.009009
Proud,32gb storage 1tb,0.0,0.009009
Proud,android 15 fitur,0.0,0.009009
Proud,worth it kalian,0.0,0.009009
Proud,mobil kilometer rendah,0.0,0.009009
Proud,menang semua senang,0.0,0.009009
Proud,temen temen lihat,0.0,0.009009
Proud,punya 2 warna,0.0,0.009009
Proud,mengatasi masalah jerawat,0.0,0.009009
Proud,pola hidup sehat,0.0,0.009009
Proud,sukses jakarta indonesia,0.0014367272727272,0.0085732727272727
Proud,2025 terima kasih,0.0020660909090909,0.006942909090909
Proud,salah satu paling,0.0060987272727272,0.0029102727272727
Sad,sekolah les bermain,0.0,0.125
Sad,follow save video,0.0107137272727272,0.0517862727272727
Sad,skin barrier rusak,0.0,0.047962
Sad,hai guys kali,0.0,0.044194
Sad,setelah cek ternyata,0.0,0.044194
Sad,sebelah sini lihat,0.0,0.037692
Sad,tanda tanda penuaan,0.0,0.037692
Sad,gini kira kira,0.0,0.036084
Sad,inspeksi menyeluruh plus,0.0,0.036084
Sad,panggil timur inspeksi,0.0,0.036084
Sad,oh my god,0.0063391818181818,0.0336688181818181
Sad,kasih lihat kalian,0.0,0.032632
Sad,that s it,0.0008201818181818,0.0323568181818181
Sad,eyeshadow blush on,0.0,0.029232
Sad,misalnya water misalnya,0.0,0.023981
Sad,something calm down,0.0,0.023981
Sad,it s so,0.0102018181818181,0.0146381818181818
Sad,blush on bibir,0.0,0.014616
Sad,bagus oh my,0.0,0.014616
Sad,multitasking color crayon,0.0,0.014616
Sad,my god suka,0.0,0.014616
Sad,blush on lipstick,0.0,0.014616
Sad,gini makanya gemes,0.0,0.014616
Sad,is my favorite,0.0,0.013289
Sad,you so much,0.0,0.013289
Sad,to get this,0.0,0.013289
Sad,s super comfortable,0.0,0.013289
Sad,check that out,0.0,0.013289
Sad,it s super,0.0,0.013289
Sad,i m telling,0.003849909090909,0.0094390909090909
Surprise,let s go,0.0,0.017715
Surprise,bikin kulit kering,0.0,0.010098
Surprise,oh my god,0.0101431818181818,0.0096588181818181
Surprise,km per liter,0.0,0.008823
Surprise,auto apple carplay,0.0,0.008326
Surprise,android auto apple,0.0,0.008326
Surprise,coba komen bawah,0.0008594545454545,0.0080265454545454
Surprise,i don t,0.0,0.007986
Surprise,nah makanya biar,0.0,0.007812
Surprise,banyak sekolah sekolah,0.0,0.007812
Surprise,adalah salah satu,0.0,0.007664
Surprise,1500 cc turbo,0.0,0.006782
Surprise,oh om om,0.0,0.006668
Surprise,paling tipis dunia,0.0,0.006668
Surprise,bulu mata bawahnya,0.0,0.006563
Surprise,adaptive cruise control,0.0,0.00655
Surprise,nah kira kira,0.0,0.006386
Surprise,indo by broth3rmax,0.0,0.006357
Surprise,sub indo by,0.0,0.006357
Surprise,suv leather frame,0.0,0.006331
Surprise,8gb storage 256gb,0.0,0.006265
Surprise,s go langsung,0.0,0.006232
Surprise,buang air besar,0.0,0.006162
Surprise,carbon fiber carbon,0.0,0.006162
Surprise,salah satunya adalah,0.0,0.005737
Surprise,harga 3 jutaan,0.0,0.005669
Surprise,punya bekas jerawat,0.0,0.005605
Surprise,kaya kaya kaya,0.0026088181818181,0.0035831818181818
Trust,i love you,0.0,0.015504
Trust,ikan koi ikan,0.0,0.013233
Trust,kehidupan sehari hari,0.0,0.013233
Trust,mother of pearl,0.0,0.0132
Trust,paling penting adalah,0.0,0.012906
Trust,by the way,0.0,0.011894
Trust,tahan 2 3,0.0,0.010948
Trust,provinsi kaya jakarta,0.0,0.01092
Trust,jakarta tahun 2025,0.0,0.010795
Trust,faat stay hard,0.0,0.010401
Trust,menurunkan berat badan,0.0,0.010156
Trust,melihat teman teman,0.0020660909090909,0.010021909090909
Trust,tiang pull up,0.0,0.009614
Trust,memiliki mindset benar,0.0074688181818181,0.0090811818181818
Trust,8 12 kali,0.0,0.008957
Trust,share satu studi,0.0,0.008955
Trust,satu per satu,0.0,0.00866
Trust,selama 3 hari,0.0,0.008497
Trust,mantap terima kasih,0.0,0.008395
Trust,benar teruskan dr,0.0,0.008275
Trust,benar kejutan kejutan,0.0,0.008275
Trust,adalah membuat waktu,0.0,0.008275
Trust,adalah mindset apabila,0.0,0.008275
Trust,coba komen bawah,0.0016156363636363,0.0078383636363636
Trust,waktu menyerahkan adalah,0.0009242727272727,0.0073507272727272
Trust,revaluasi mindset rasa,0.0009242727272727,0.0073507272727272
Trust,rasa membantu revaluasi,0.0009242727272727,0.0073507272727272
Trust,rasa berbagi jika,0.0009242727272727,0.0073507272727272
Trust,oke terima kasih,0.0021250909090909,0.006303909090909
Trust,that s it,0.0030160909090909,0.006005909090909
