emotion,phrase,other_mean,distinctiveness
Joy,off road,0.0,0.01702
Joy,agak sedikit,0.0,0.016833
Joy,dipon 21,0.0,0.016533
Joy,ivan gunawan,0.0,0.01652
Joy,menyerang lawan,0.0,0.016441
Joy,kerana menonton,0.0,0.016088
Joy,kasih kerana,0.0,0.016088
Joy,kalah kalah,0.0,0.016071
Joy,lihat kasih,0.0,0.016071
Joy,datang jakarta,0.0,0.015949
Joy,back to,0.0,0.015692
Joy,gias 2025,0.0,0.015423
Joy,warga jakarta,0.0,0.015332
Joy,segala macam,0.0,0.01527
Joy,jakarta indonesia,0.0,0.015215
Joy,oke oke,0.0,0.015062
Joy,4 perunggu,0.0,0.015004
Joy,nama baik,0.0,0.014695
Love,thank you,0.0,0.573641
Love,3 kilo,0.0,0.379426
Love,long run,0.0,0.379426
Love,john glory,0.0,0.379426
Love,sekitar 3,0.0,0.362131
Love,glory glory,0.0046154545454545,0.3238745454545454
Loyalty,tahun pertama,0.0,0.38542
Loyalty,aplikasi lain,0.0,0.19271
Loyalty,cover semua,0.0,0.19271
Loyalty,fitur ai,0.0,0.19271
Loyalty,ganti layar,0.0,0.19271
Loyalty,kalian banyak,0.0,0.19271
Loyalty,info detail,0.0,0.19271
Loyalty,pertama langsung,0.0,0.19271
Loyalty,misalnya butuh,0.0,0.19271
Loyalty,one ui,0.0,0.19271
Loyalty,lihat sebelum,0.0,0.19271
Loyalty,circle to,0.0,0.19271
Loyalty,to search,0.0,0.19271
Loyalty,pre order,0.0,0.19271
Loyalty,screen protector,0.0,0.19271
Loyalty,2 tahun,0.0,0.183926
Loyalty,7 tahun,0.0,0.183926
Loyalty,1 tahun,0.0,0.171546
Loyalty,kolom komentar,0.0,0.171546
Loyalty,langsung datang,0.0,0.171546
Loyalty,2 kali,0.0,0.16684
Loyalty,selama 2,0.0,0.16684
Loyalty,kanan kiri,0.0,0.159166
Loyalty,selama 3,0.0,0.155949
Loyalty,kalian suka,0.0,0.153039
Loyalty,3 tahun,0.0,0.153039
Loyalty,main game,0.0,0.153039
Neutral,memberikan hasil,0.0,0.147634
Neutral,rumah punya,0.0,0.080357
Neutral,alternatif aman,0.0,0.077342
Neutral,workout rumah,0.0,0.071532
Neutral,bener bener,0.0026816363636363,0.0683373636363636
Neutral,mual muntah,0.0,0.063483
Neutral,hamil mengalami,0.0,0.063483
Neutral,s so,0.0,0.059492
Neutral,ibu hamil,0.003884,0.054461
Neutral,you need,0.0,0.052616
Neutral,your skin,0.0,0.049959
Neutral,mindset benar,0.0023885454545454,0.0461054545454545
Neutral,memiliki mindset,0.0023885454545454,0.0461054545454545
Neutral,kejutan kejutan,0.0023587272727272,0.0455292727272727
Neutral,jangan khawatir,0.0,0.045318
Neutral,skin care,0.0,0.041569
Neutral,banyak space,0.0,0.040178
Neutral,to notice,0.0,0.040178
Neutral,diatur layar,0.0,0.040178
Neutral,100 kilo,0.0,0.040178
Neutral,perlu banyak,0.0,0.040178
Neutral,memindahkan beban,0.0,0.040178
Neutral,it s,0.0033407272727272,0.0391092727272727
Neutral,video video,0.0,0.038347
Neutral,i m,0.0,0.038078
Neutral,pas tengah,0.0,0.037858
Neutral,banyak pilihannya,0.0,0.037858
Neutral,full coverage,0.0,0.036132
Neutral,semua otot,0.0,0.035766
Neutral,latihan beban,0.001930909090909,0.0338350909090909
Proud,terima kasih,0.0103678181818181,0.0231921818181818
Proud,teman teman,0.0077593636363636,0.0161506363636363
Proud,sepak bola,0.0,0.012288
Proud,dekai jakarta,0.0,0.011204
Proud,atlet atlet,0.0,0.010823
Proud,solar guard,0.0010201818181818,0.0104368181818181
Proud,temen temen,0.0020253636363636,0.0103166363636363
Proud,jangan lupa,0.0018493636363636,0.0102226363636363
Proud,200 ribu,0.0,0.010015
Proud,belakang bagian,0.0,0.009009
Proud,pertama kali,0.0,0.008736
Proud,oke john,0.0,0.008654
Proud,selamat datang,0.0,0.008396
Proud,wuling mitra,0.0,0.008269
Proud,cabang olahraga,0.0,0.008069
Proud,kaca film,0.0,0.007992
Proud,sampai jam,0.0,0.00797
Proud,vitamin c,0.0,0.00783
Proud,warna warna,0.0,0.007814
Proud,make up,0.001338909090909,0.0077500909090909
Proud,dki jakarta,0.0027067272727272,0.0076212727272727
Proud,benar benar,0.0017953636363636,0.0074706363636363
Proud,luar biasa,0.0049567272727272,0.0066202727272727
Proud,kalian lihat,0.0034628181818181,0.0062961818181818
Proud,jalan jalan,0.0039366363636363,0.0041633636363636
Proud,salah satu,0.005148909090909,0.0040100909090909
Proud,bener bener,0.0141280909090909,0.001998909090909
Proud,memiliki mindset,0.0102524545454545,0.0002325454545454
Proud,mindset benar,0.0102524545454545,0.0002325454545454
Proud,kejutan kejutan,0.0101243636363636,0.0002296363636363
Sad,paling penting,0.0,0.0625
Sad,sebelah sini,0.0,0.052957
Sad,lihat bukan,0.0,0.050814
Sad,tinggi gula,0.0,0.047341
Sad,ibu hamil,0.0053040909090909,0.037419909090909
Sad,minuman manis,0.0,0.036753
Sad,bukan hanya,0.0016335454545454,0.0347554545454545
Sad,muka muka,0.0,0.034489
Sad,menang menang,0.0,0.034489
Sad,sini tunjukin,0.0,0.03433
Sad,hai kalian,0.0,0.03433
Sad,sini sini,0.0,0.032766
Sad,sekolah les,0.0,0.029796
Sad,minuman tepat,0.0,0.029796
Sad,les bermain,0.0,0.029796
Sad,mengonsumsi minuman,0.0,0.029796
Sad,asupan minuman,0.0,0.029796
Sad,mobil bekas,0.0,0.028545
Sad,bagi kesehatan,0.0,0.027385
Sad,kemarin habis,0.0,0.027253
Sad,emang eh,0.0,0.027228
Sad,kalian lihat,0.0025428181818181,0.0270951818181818
Sad,luar rumah,0.0,0.024502
Sad,tanda tanda,0.0,0.02445
Sad,it s,0.0046512727272727,0.0233827272727272
Sad,blush on,0.0,0.023314
Sad,barrier rusak,0.0,0.023301
Sad,produk warda,0.0,0.022993
Sad,misalnya water,0.0,0.022239
Sad,tiba tiba,0.0009793636363636,0.0216066363636363
Surprise,terima kasih,0.0110465454545454,0.0150474545454545
Surprise,make up,0.0008262727272727,0.0139017272727272
Surprise,kira kira,0.0034088181818181,0.0108671818181818
Surprise,oh my,0.0,0.008948
Surprise,oh oh,0.0,0.008573
Surprise,my god,0.0,0.008465
Surprise,temen temen,0.0022047272727272,0.0081642727272727
Surprise,this is,0.0,0.007932
Surprise,let s,0.0,0.007863
Surprise,salah satu,0.0048337272727272,0.0077922727272727
Surprise,s go,0.0,0.007276
Surprise,bikin kulit,0.0,0.007242
Surprise,sobat sehat,0.0,0.006794
Surprise,tiba tiba,0.0041065454545454,0.0066664545454545
Surprise,bulu mata,0.0,0.006508
Surprise,bukan cuma,0.0,0.006484
Surprise,jangan lupa,0.0021716363636363,0.0063553636363636
Surprise,carbon fiber,0.0,0.005874
Surprise,bekas jerawat,0.0,0.005622
Surprise,3 jutaan,0.0,0.005604
Surprise,cacar api,0.0,0.005542
Surprise,km per,0.0,0.005456
Surprise,bener bener,0.0079223636363636,0.0054486363636363
Surprise,benar benar,0.0019755454545454,0.0053084545454545
Surprise,luar biasa,0.0051373636363636,0.0044526363636363
Surprise,dki jakarta,0.0030195454545454,0.0038674545454545
Surprise,teman teman,0.0089811818181818,0.0014888181818181
Trust,terima kasih,0.0125353636363636,0.0232756363636363
Trust,insya allah,0.0,0.013551
Trust,anak anak,0.0,0.013146
Trust,memiliki mindset,0.0053617272727272,0.0104272727272727
Trust,mindset benar,0.0053617272727272,0.0104272727272727
Trust,benar benar,0.0021667272727272,0.0102982727272727
Trust,kejutan kejutan,0.0052947272727272,0.0102972727272727
Trust,solar guard,0.0010415454545454,0.0101804545454545
Trust,pull up,0.0,0.009251
Trust,jangan lupa,0.0026478181818181,0.0091681818181818
Trust,teman teman,0.009216,0.0091409999999999
Trust,berat badan,0.0,0.009036
Trust,dk jakarta,0.0,0.008941
Trust,temen temen,0.0030072727272727,0.0089027272727272
Trust,i love,0.0,0.008375
Trust,love you,0.0,0.008339
Trust,misalnya kalian,0.0,0.008179
Trust,komen bawah,0.0,0.008092
Trust,benar kejutan,0.0,0.007894
Trust,barokah aktivitas,0.0,0.007894
Trust,dr nia,0.0,0.007894
Trust,aktivitas rasa,0.0,0.007894
Trust,membantu revaluasi,0.0,0.007894
Trust,mengawasi allah,0.0,0.007894
Trust,waktu menyerahkan,0.0,0.007894
Trust,aktivitas sebenarnya,0.0,0.007894
Trust,aktivitas besar,0.0,0.007894
Trust,salah satu,0.0059192727272727,0.0073917272727272
Trust,kalian lihat,0.0035815454545454,0.0048714545454545
